UNI_ST_UNIDADE,PRO_ST_DEFITEM,PRO_IN_CODIGO,PRO_ST_DESCRICAO,GRU_IDE_ST_CODIGO
PC,MP,15067,"CHAPA PREGO GNA80 3,6X15,9CM",01
UN,OU,15090,SANITÁRIO QUÍMICO,07
UN,MP,15092,"CALHA PERFIL W BRANCO 3,0M",01
UN,MP,15133,QUADRO DE PASSAGEM PVC SOBREPOR 234 X 174 X 090,15
UN,MP,15134,TOMADA PISO 2P+T 20A,15
PC,MP,15139,"ISOTELHA TPZ PIR 30MM RAL 7035 AÇO 0,43MM AÇO 0,38MM 1x5,74M",01
PC,MP,15150,madeirite 14mm plastificado,15
UN,MP,13923,"JANELA DE CORRER 100X100 VID 4MM COMUM INCOLOR, COR PRETA",15
UN,MP,13924,"KIT PORTA ENTRADA EXT PRETA PVC 0,88X2,12M DIR BAT 183MM VIST 60MM",15
UN,MP,14199,CAIXA ELETRICA ALVENARIA 4X2 TRAMONTINA REF 57500 041,01
KG,MP,14200,"AÇO CA25 12,50MM",15
UN,MP,14201,"PINGADEIRA DE FUNDAÇÃO ALUMINIO 5CM BRANCA 2,5M",15
UN,MP,14202,CONECTOR PLUG&PLAY MACHO 3 VIAS,01
UN,MP,14203,CONECTOR PLUG&PLAY FEMEA 3 VIAS,01
UN,MP,14204,CONECTOR PLUG&PLAY MACHO 2 VIAS,15
UN,MP,14205,CONECTOR PLUG&PLAY FEMEA 2 VIAS,15
UN,MP,14206,DORMENTE DEMOLIÇÃO MADEIRA DE LEITE 17X24X280CM,15
UN,OU,14207,"PORTÃO DE ALUMINIO PRETO VAZADO 2,20X1,00M (AXL)",07
UN,OU,14208,"PORTÃO DE ALUMINIO PRETO VAZADO 2,20X3,00M (AXL)",07
UN,MP,14209,VIDRO DE FECHAMENTO,15
SE,SE,14210,"SERVIÇO DE INSTALAÇÃO ELETRICA, HIDROSSANITARIAS E GAS DA FUNDAÇÃO",15
UN,PA,14557,TRE_RCN_PVTO_T-C1,15
UN,OU,14559,MOUSE PARA COMPUTADOR,07
UN,PA,14381,COB T4/1_JNC_DNA (espelhado),15
UN,PA,14382,COB T4/2_JNC_DNA,15
UN,PA,14383,COB T4/2_JNC_DNA (espelhado),15
UN,PA,14384,KIT ELE AREA TEC_JNC_DNA,15
UN,PA,14385,KIT ELE COB HALL_JNC_DNA,15
UN,MP,14627,VIGA METALICA I W150X18 4155MM VE01 CTC,15
UN,MP,14628,"VIGA METALICA U190X50 310,3MM VM01 CTC",15
UN,MP,14629,"VIGA METALICA U190X50 390,2MM VM02 CTC",15
UN,MP,14630,"VIGA METALICA U190X50 390,2MM VM03 CTC",15
UN,MP,14631,"VIGA METALICA U190X50 263,5MM VM04 CTC",15
UN,MP,14632,"VIGA METALICA U190X50 263,5MM VM05 CTC",15
UN,MP,14633,VIGA METALICA U190X50 415MM VM06 CTC,15
UN,MP,14634,VIGA METALICA U190X50 415MM VM07 CTC,15
UN,MP,14635,"VIGA METALICA U190X50 263,5MM VM08 CTC",15
UN,MP,14636,"VIGA METALICA U190X50 263,5MM VM09 CTC",15
PC,EQ,13880,"ELEMENTO HORIZONTAL TRAVESSA PRA ANDAIME 1,00",15
PC,EQ,13881,"ELEMENTO HORIZONTAL TRAVESSA PRA ANDAIME 2,00",15
PC,EQ,13882,"ESCADA 2,00",15
PC,EQ,13883,SAPATA BASE FIXA,15
PC,EQ,13884,"TUBO DE AMARRAÇÃO PARA ANDAIME 5,00",07
PC,EQ,13885,"TUBO DE AMARRAÇÃO PARA ANDAIME 3,50",07
PC,EQ,13886,"TUBO DE AMARRAÇÃO PARA ANDAIME 2,00",07
PC,EQ,13887,"TUBO DE AMARRAÇÃO PARA ANDAIME 1,00",07
PC,EQ,13888,"KIT ALCAPAO 2 PISO 1,00 E TRAVESSA 1,00 C/ CORRENTE",15
PC,EQ,13889,LUVA DE EMENDA,15
GL,MP,13920,TINGIDOR IMBUIA,15
SE,SE,13971,SERVIÇO DE LIMPEZA FINALIZAÇÃO OBRA,09
UN,OU,14025,FITA RACK PARA CARGA 5 METROS,07
UN,PA,14056,PKS_PARADE_1,15
PC,PA,14057,PKS_KIT_HD-1,04
UN,PA,14059,PKS_PARADE_2,15
PC,PA,14060,PKS_KIT_HD-2,04
UN,OU,15157,BEBEDOURO ELETRICO 60L 220V,08
UN,OU,15158,placa 2x4 p/ 1 função,01
UN,OU,15160,COLAR CERVICAL REGULAVEL,07
UN,OU,15161,MASCARA RCP DESCARTAVEL,07
UN,OU,15162,"ARMÁRIO MULTIUSO BRANCO 2 PORTAS 1,80 ALTURA / COM CHAVE",07
PC,OU,15163,"ARMÁRIO MULTIUSO BRANCO 2 PORTAS 1,80 ALTURA COM CHAVE",08
UN,OU,15164,CINTO PARA PRANCHA KIT 3 UN,07
UN,OU,15165,IMOBILIZADOR DE CABECA RED BLOCK,07
PCT,OU,15166,TALA UNIVERSAL DE PAPELAO 70X20 KIT 10 UN,07
BR,MP,15167,"ACO CA50 8,0MM BARRA 12M ABNT NBR 7480:2007",01
BR,MP,15168,"ACO CA50 10,00MM X 12M ABNT NBR 7480:2007",01
PC,EQ,15201,EXAUSTOR AXIAL 600MM TRIFASICO 220/380 V C/ P,07
PC,EQ,15202,EXAUSTOR AXIAL 400MM MONOFASICO 220V C/ PROTE,07
PC,EQ,15203,EXAUSTOR AXIAL 600MM MONOFASICO 220 V C/ PROTE,07
PC,EQ,15204,"SERRA CIRCULAR DE 7"" 1/4 220V P/ MADEIRA + C",07
UN,PA,13728,BLD_MNC_QD_APTO_7_14,04
PC,OU,13997,PERFIL U (56X136) - 700 MM - 4.25M,15
PC,OU,13998,"PERFIL U (30X136) - 700 MM - 4,25MM",15
PC,OU,13999,"CHAPA 1/4"" (140X340)",15
PC,OU,14000,"CHAPA 1/4"" (85X257)",15
PC,OU,14001,"CHAPA 1/4"" (101X257)",15
PC,OU,14002,"CHAPA - 1/2"" (250X290X100)",15
PC,OU,14003,"CHAPA - 1/2"" DOBRADA L (160X83X147)",15
PC,OU,14004,"CHAPA 1/2"" (152X177,3)",15
PC,OU,14005,"CHAPA 1/2"" (177X50)",15
PC,OU,14006,"CHAPA 1/2"" (210X65)",15
BR,OU,14007,"BARRA ROSCADA 1"" -  3M",15
BR,OU,14008,MACIÇO REDONDO 20MM DE DIÂMETRO - AÇO 1045 -  6M,15
BR,OU,14009,"MACIÇO TREFILADO 19MM (3/4"") - AÇO 1045 -  6M",15
BR,OU,14010,MACIÇO REDONDO - 30MM DE DIÂMETRO - 3M,15
BR,OU,14011,"MACIÇO REDONDO  1/2"" -  6M",15
BR,OU,14012,"MACIÇO REDONDO 5/8"" -  6M",15
UN,PA,13653,JNC_DNA_PVTO_4-C2,15
UN,PA,13654,JNC_DNA_PVTO_4-C3,15
UN,PA,13655,JNC_DNA_PVTO_4-C4,15
UN,MP,14637,"VIGA METALICA U190X50 310,3MM VM10 CTC",15
UN,MP,14638,"VIGA METALICA U190X50 390,2MM VM11 CTC",15
UN,MP,14639,"VIGA METALICA U190X50 390,2MM VM12 CTC",15
UN,MP,14640,"VIGA METALICA U190X50 263,5MM VM13 CTC",15
UN,MP,14641,"VIGA METALICA U190X50 263,5MM VM14 CTC",15
UN,MP,14642,"VIGA METALICA U190X50 263,5MM VM15 CTC",15
UN,MP,14643,"VIGA METALICA U190X50 263,5MM VM16 CTC",15
UN,PA,14644,av01_TRE_STC (P2),15
UN,PA,14645,av02_TRE_STC (P2),15
UN,PA,14646,HALLPAV2_TRE_STC,15
UN,PA,14647,av01_TRE_STC (P3),15
UN,PA,14648,av02_TRE_STC (P3),15
UN,PA,14649,HALLPAV3_TRE_STC,15
BD,OU,13769,TINTA_PVA_FD,15
UN,DI,13902,PARAFUSO CHIPBOARD PHILIPS 6X35MM BICROMATIZADO,07
UN,OU,13905,LIXA SECO 400,07
UN,PA,14061,PKS_KIT_ELE-AV,04
UN,PA,14062,PKS_KIT_ELE-COB,04
UN,PA,14063,PKS_KIT_ELE-EP,04
UN,PA,14064,PKS_KIT_QD,04
UN,PA,14065,PKS_EP_1,04
UN,PA,14066,PKS_EP_2,04
UN,OU,14150,VALVULA DE RETENÇÃO HORIZONTAL 3/4,15
UN,PA,14191,HME_EXT_PINGADEIRA,15
PC,FE,14625,"FITA AUTOCOLANTE KREG KMS7729 - 3,5M",07
SE,SE,14696,LICENÇA MOBUSS,09
M2,MP,14977,PISO INTERNO - 44X44CM - LEF CERAMICAS MOD 44383,15
UN,DI,14993,ENXADÃO LARGO,07
UN,OU,14994,"BROCA PARA AÇO 1/2""",07
PC,MP,14995,PARAFUSO TBS 8X80MM WASHERHEAD SCHMID,01
PC,EQ,15205,TALHA MANUAL DE CORRENTE 5000 KG3M CORRENTE,07
PC,EQ,15206,REGULADOR INDUSTRIAL TODO EM LATAO REFORCADO,07
PC,EQ,15207,GARRA NEGATIVA 500A REF. ARTOCH C/ 03 M CABO,07
UN,MP,15211,janela de correr 02 folhas - hospital,01
UN,MP,15212,janela de correr 04 folhas - hospital,15
UN,MP,15213,porta de giro 02 folha,15
UN,MP,15214,"PAINEL WALL 1,20X2,50M 23MM MAXICOMP",01
UN,MP,15217,EXTINTOR DE PÓ QUÍMICO SECO ABC 8KG,15
UN,MP,15218,PERFIL - PAINEL EM AÇO LAMINADO ACABADO A FRIO P/ FECHAMENTO,15
PC,EQ,15221,"TUBO DE AMARRAÇÃO PARA ANDAIME 3,75",07
PC,EQ,15222,"TUBO DE AMARRAÇÃO PARA ANDAIME 3,25",07
PC,EQ,15223,"TUBO DE AMARRAÇÃO PARA ANDAIME 0,50",07
PC,EQ,15224,"TUBO DE AMARRAÇÃO PARA ANDAIME 1,50",07
PC,EQ,15225,"TUBO DE AMARRAÇÃO PARA ANDAIME 2,75",07
PC,EQ,15226,"TUBO DE AMARRAÇÃO PARA ANDAIME 3,00",07
PC,EQ,13828,126008 - PLATAFORMA 2630ES - 0200199981,07
UN,OU,14013,CHAVE DE IMPACTO -3AH - DTW190 - MAKITA,07
UN,OU,14014,APARAFUSADORA DE IMPACTO - SID 2-A12 - HILT,08
UN,FE,14015,ESMERILHADEIRA GWS 22-180,08
UN,FE,14016,PREGADEIRA DE PUNHO TE 7-C - HILT,08
UN,FE,14017,SERRA TICO TICO - JV0600K - MAKITA,08
UN,FE,14018,MINIPREGADOR PNEUMÁTICO,08
PC,FE,14019,TUPÍA - 2100W - RP2301FC - MAKITA,08
UN,DI,14320,REBOCADOR EZS C40,08
UN,DI,14321,BATERIA DE CHUMBO 24V 3PZS 465 798X212X784 370KG,08
UN,DI,14322,CARREGADOR E230 G24/50 B-SLT10,08
UN,OU,14323,ESCADA MARINHEIRO 2M,08
UN,FE,14340,"CHAVE COMBINADA 15/16""",07
UN,MT,14462,LUMINARIA DE EMBUTIR LED 18W REDONDA 22CM,07
UN,MT,14463,LUMINARIA DE EMBUTIR LED 40W REDONDA 62CM,07
UN,MP,14464,"CONJUNTO MONTADO COM 1 INTERRUPTOR SIMPLES E 2 TOMADA 2P+T, 20A, 4X2",15
UN,PA,14650,av01_TRE_STC (P4),15
UN,PA,14651,av02_TRE_STC (P4),15
UN,PA,14652,HALLPAV4_TRE_STC,15
UN,PA,14653,COB AB_TRE_STC,15
UN,PA,14654,COB CD_TRE_STC,15
UN,PA,14655,TAMPA_DE_QUADRO_TRE,04
UN,OU,14674,CILINDRO CANON GPR-53 KCYM,07
UN,MP,14677,CALHAS E RUFOS C5.B AMPLIADA - CAMPINAS,15
UN,MP,14678,KIT PORTA GIRO INT DIR 80X210 1F MAD S.O AP BRANCA B165MM V60MM,15
PC,DI,14695,BROCA AÇO RAPIDO 5/16X8 (ESCADA TREELE),07
UN,PA,14702,Pingadeiras_TRE_STC,15
UN,MP,14709,"VIGA METALICA W200X19,3 5152MM VM02 S15 SOCORRO",01
UN,OU,14736,COLETOR DE PO 45 LITROS PARA MAQUINAS DE BANCADA 1100W 220V,07
UN,OU,14765,REGULADOR DE PRESSÃO OXIGÊNIO,07
UN,OU,14766,REGULADOR DE PRESSÃO ACETILENO,07
UN,OU,14767,VALVULA CORTA FOGO ACETILENO,07
PC,DI,13823,CHAVE FIM DE CURSO PNEUMÁTICA,07
UN,OU,13824,MARTELETE ROMPEDOR 10KG 220V,08
UN,OU,13825,CORTADORA DE PISO 450MM,08
UN,MP,13980,TAMPA P/ QUADRO DE DISTRIBUIÇÃO TIGRE,04
UN,MP,13981,TAMPA P/ CAIXA CPP 30,01
UN,MP,14309,"JANELA MAXIM-AR 80X60CM, 1FLH, AL BRANCO, VD MINI BOREAL 3MM",01
UN,OU,14360,CELULAR SAMSUNG GALAXY A12,08
UN,OU,14361,MONITOR HP V22B 21.5 POLEGADAS,08
UN,OU,14399,FLAT DA TELA,08
UN,OU,14400,TECLADO ABNT,08
PC,PA,14664,ELE KT ABC_MFR_TRO,04
PC,PA,14665,ELE KT DEF_MFR_TRO,04
PC,PA,14666,ELE KT G_MFR_TRO,04
PC,PA,14667,ELE KT QD_MFR_TRO,04
PC,PA,14668,KIT PINGADEIRA MFR_TRO,04
PC,PA,14669,CANTONEIRA L (CIMENTÍCIA) MFR_TRO,04
PC,EQ,15227,ABRAÇADEIRA FIXA PARA ANDAIME,07
PC,EQ,15228,LUVA PARA ANDAIME,07
PC,EQ,15229,"TRAVESSA ANDAIME 1,09",07
PC,EQ,15230,"TRAVESSA ANDAIME 2,57",07
PC,EQ,15231,"TRAVESSA ANDAIME 2,07",07
PC,EQ,15232,POSTE PARA ANDAIME,07
PC,EQ,15233,ESCADA PARA ANDAIME,07
PC,EQ,15234,"BARRA DIAGONAL PARA ANDAIME VERMELHO 2,07 X 2,00 - 2,88",07
PC,EQ,15235,"BARRA DIAGONAL PARA ANDAIME VERDE 2,57 X 2,00 - 3,26",07
PC,EQ,15236,"MISULA PARA ANDAIME 1,09",07
UN,OU,15237,CAMISETA POLIVISCOSE MANGA CURTA XG,07
UN,OU,15238,CAMISETA POLIVISCOSE MANGA CURTA XXG,07
PC,MP,15249,"TABUA DE PINUS 1""X6""X2,5M",01
PC,MP,15250,"TABUA DE PINUS 1""X8""X2,5M",01
PC,MP,15251,"tabua de pinus 1""x4""x2,5m",01
UN,OU,15256,SUCATA ELETRONICOS INFORMATICA,07
PC,MP,13754,CHAPA BRACKET A - A TRATAR,15
PC,MP,13755,CHAPA BRACKET B - A TRATAR,15
UN,OU,14560,CÂMERA CANON PC1963,07
UN,OU,14561,APARELHO DE SOM AIWA CX-NS505LH,07
UN,MP,14656,JANELA MAXIM-AR 60x100CM 1F ALUM VIDRO MINI BOREAL 3MM L25 PRETA,15
UN,MP,14657,PJ ALUM 160X220CM PRETO 2FLH QD INF VD TEMP 6MM QD SUP VD 4MM INC,01
UN,MP,14658,JANELA CORRER 2FLH 150X213 AL PRETO QD SUP VD C 4MM QD INF VD T 6MM,01
UN,MP,14659,JANELA CORRER 4FLH 240X213 AL PRETO QD SUP VD C 4MM QD INF VD T 6MM,01
UN,MP,14660,KIT PORTA GIRO EXT DIR 90X210 1F AL VD LISO INC4MM L25 PT,15
UN,MP,14686,CONTRAMARCO 3M TCV-0001 A TRATAR,15
UN,OU,14703,"ESCAREADOR 12,5MM 90° C/ HASTE CILINDRICA AÇO RAPIDO",07
M2,MP,14815,REV PORCELANATO PP ARBOL CARVALHO AC 20X120CM INCEPA,15
UN,OU,14831,CONJUNTO BOTAO SOFT (BORRACHA E BOTAO),07
UN,OU,14876,Parafusadeira DFR-550 Protetor contra pó  cod.162201-9,07
UN,OU,14877,Parafusadeira DFR-550 Tampa da caixa de alimentação cód.158375-2,07
UN,OU,14768,VALVULA CORTA FOGO OXIGÊNIO,07
SE,SE,14777,SERVIÇO ENSAIO DE ARRANCAMENTO DE ANCORAGEM,15
UN,OU,14779,RODIZIO GIRATORIO PESADO,07
UN,OU,14780,RODIZIO FIXO PESADO,07
PC,MP,14781,CARENAGEM ASTRA CAR/214E,15
PC,MP,14782,CARENAGEM ASTRA CAR/244E,15
PC,MP,14783,"TÊ CLICPEX 20X20X20MM, PEX MONOCAMADA",15
PC,MP,14784,"CONECTOR MACHO CLICPEX 20MMX1/2”, PEX MONOCAMADA",15
PC,MP,14785,"CONECTOR MACHO CLICPEX 25MMX3/4”, PEX MONOCAMADA",15
UN,PA,14816,TCH_S15A_P2_CARGA 1,04
UN,PA,14817,TCH_S15A_P2_CARGA 2,04
UN,PA,14818,TCH_C12A_CARGA 1,04
UN,PA,14819,TCH_C12A_CARGA 2,04
UN,MP,14820,PORTA ALUM GIRO 1F VENEZIANA DIREITA 100X210CM BRANCA,01
UN,MP,14821,JANELA MAXIM-AR 1650X600MM 3F BRANCA VD LISO,01
UN,MP,14822,JANELA MAXIM-AR 2200X600MM 4F BRANCA VD LISO,01
UN,OU,13973,BARRAMENTO TIPO PENTE DIN MONO 80A 1X12C,15
UN,OU,14081,CAMISETA MELHORIA CONTINUA,07
L,MP,14238,WANDEPOXI DILUENTE 900 ML,07
L,MP,14239,"WANDEP MUNSELL 2,5 G 48 M",07
UN,PA,14301,KIT_SOLTOS_JN_PAV_01,15
UN,PA,14302,AV_03_JN_PAV_01,15
UN,PA,14303,AV_04_JN_PAV_01,15
UN,PA,14304,AV_05_JN_PAV_01,15
UN,PA,14305,AV_06_JN_PAV_01,15
UN,PA,14306,KIT_PRUMADA_ELEVADOR_JN_PAV_01,15
UN,PA,14307,JNC_DNA_PVTO_2-C1,15
M3,PA,14308,RESÍDUO_OSB_JN,15
MIL,MP,14525,"PREGO ANELADO EM ROLO 2,3X30 A TRATAR",15
PC,PA,14670,ARREMATES DE GEMINAÇÃO MFR_TRO,04
PC,PA,14671,ARREMATES DE FACHADA MFR_TRO,04
PC,PA,14672,TAMPAS DE QUADRO MFR_TRO,04
PC,PA,14673,ESPELHO DE CAIXINHA ELÉTRICA MFR_TRO,04
PC,MP,15257,isolador roldana 72x72mm,15
UN,MP,15336,LUVA DE CORRER 100MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,MP,15337,LUVA SIMPLES 40MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,MP,15338,LUVA SIMPLES 50MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,MP,15339,LUVA SIMPLES 100MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,MP,15340,REDUCAO EXCENTRICA 100X75MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,MP,15341,TERMINAL DE VENTILACAO 75MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,MP,15342,TE 75X75MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,MP,15343,JOELHO 45° 50MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,MP,15345,JUNCAO DUPLA 75X75X75 MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,MP,15346,LUVA DE CORRER 75MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,MP,15347,LUVA SIMPLES 75MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
PC,MP,15348,REDUCAO EXCENTRICA 75X50MM PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,MP,15350,TUBO 100MM 6M PVC BRANCO ESGOTO SERIE NORMAL TIGRE,01
UN,PA,13713,MRV_TUR_PAREDES,15
KG,MP,13929,TEXTURA ELASTOMÉRICA - COR SUVINIL MACIOTA - CÓD B522,15
KG,MP,13930,TEXTURA ELASTOMÉRICA - COR SUVINIL FLORESTA ÚMIDA - CÓD R326,15
KG,MP,13931,TEXTURA ELASTOMÉRICA - COR SUVINIL CINZA FECHADO CÓD - P750,15
KG,MP,13932,RUFOS E CALHAS C5B - CAMPINAS,15
PC,MP,13933,PORTA ALUM CORRER 2F 160X220CM VIDRO LISO 4MM + LAMINADO 3+3MM PRETO,15
KG,MP,13934,"REV. FACHADA SAVANE, MODELO OASIS AC COR GRANADA 31X54CM",15
PC,MP,13935,SOLEIRA PEDRA NATURAL 129X3X2CM,15
PC,MP,13936,CHAPA ESPECIAL- BRISE DE FACHADA COM CANTONEIRAS,15
UN,PA,13937,KIT PERGOLADO,04
PC,MP,13938,"TAMPA METÁLICA PARA DRYWALL COM DOBRADIÇA E FECHO 62,5X62,5CM",15
UN,MP,13939,PINUS APARELHADO 38X90X2600MM,15
UN,MP,13940,PINUS APARELHADO 38X140X2600MM,15
UN,MP,13941,CONTRAMARCO PRETO 2M TCV-0001,01
UN,MP,13942,"CONTRAMARCO PRETO 4,5M TCV-0001",01
UN,MP,13943,QUADRO DE DISTRIBUIÇÃO DE EMBUTIR 6/8 DISJUNTORES S/ BARRAMENTO TIGRE,01
UN,MP,14823,JANELA 2600X1200MM 4F (2 FIXAS) + 4F MAX-AR BRANCA VD LISO,01
R,MP,14825,TELA COBERTURA CIMENTICIA 1MX50M VERTEX,01
PC,OU,14826,BACIA DE CONTENÇÃO 1M X 1M,07
UN,MP,14830,PORTA DE CORRER 3FLH 280X160CM AL BRANCO VD LISO - JA03,15
UN,MP,14832,LUMINARIA SOBREPOR 120CM PARA 2 LAMPADAS TUBULARES,01
UN,MT,14833,LAMPADA LED TUBULAR T8 120CM 18W,07
UN,MP,14834,INTERRUPTOR DIFERENCIAL RESIDUAL BIPOLAR 25A 30MA SOPRANO,01
PC,MP,14835,CAMPAINHA PARA ESCOLA TIPO GONGO 110V,15
PC,MP,14836,"ISOTELHA TPZ PIR 30MM RAL 9003 AÇO 0,5MM AÇO 0,43MM 1x5,74M",07
PC,MP,14837,ACABAMENTO FRONTAL EM AÇO P/ ISOTELHA TPZ PIR 30 RAL 9003 PÇ DE 1M,07
PC,MP,14838,"ACABAMENTO LATERAL TIPO ""A"" EM AÇO P/ ISOTELHA TPZ PIR 30 RAL 7035",15
PC,MP,14839,"ACABAMENTO LATERAL TIPO ""B"" EM AÇO P/ ISOTELHA TPZ PIR 30 RAL 7035",15
PC,MP,14840,CUMEEIRA LISA DENTADA EM AÇO P/ ISOTELHA TPZ PIR 30 RAL9003,07
M2,MP,14841,REVESTIMENTO CERÂMICO PASTILHA MARFIM MESH BR 10X10 ELIANE,01
UN,OU,13665,PORTÃO AÇO ELETRÔNICO 6M,07
UN,OU,13666,CONJUNTO DE LIXEIRAS COLORIDAS DE PLÁSTICO 100L C/ TAMPA E SUPORTE,07
UN,OU,13667,PLACA DE SINALIZAÇÃO EM METAL,07
R,MP,14031,TWC 5X200 - MEMBRANA PROSELECT,15
M2,SE,14226,MO - INDUSTRIALIZAÇÃO DE TRELIÇAS,09
UN,MP,14772,RUFOS C8.A-H01,15
UN,MP,14773,PORTA CORRER EXT 180X213 2F AL TRAV HZ VD INC 4MM TP 6MM L20 PT,01
UN,MP,14774,KIT PORTA GIRO EXT DIR 80X210 1F AL VD LISO INC4MM VNZ INF L25 PT,01
UN,MP,14775,KIT PORTA GIRO INT ESQ 60X210 1F MAD S.O AP BRANCA B135MM V60MM,15
UN,MP,14776,"CHAPA PREGO GNA80 14,3X25,8CM",01
PC,MP,14996,PARAFUSO TBS 8X100MM WASHERHEAD SCHMID,01
PC,MP,14997,PARAFUSO TBS 8X120MM WASHERHEAD SCHMID,01
PC,MP,14998,PARAFUSO TBS 8X180MM WASHERHEAD SCHMID,01
PC,MP,14999,PARAFUSO HBS 6X120MM COUNTERSUNK SCHMID,01
M3,MP,15004,CONCRETO,15
PC,DI,15262,BATERIA PARA NOTEBOOK MODELO LENOVO 330 E 330S,08
PC,DI,15263,TECLADO PARA NOTEBOOK LENOVO PADRÃO ABNT2 PARA O MODELO 330,08
UN,FE,15292,SUPORTE PARA APLICADOR DE SILICONE,07
R,MP,15293,FITILHO PLASTICO LISO 900G 800M,01
UN,MP,15518,"REGISTRO ESFERA METAL 3/4""",01
PC,MP,15519,"PORCA SEXTAVADA 5/8"" AUTOTRAVANTE",01
UN,MP,15520,PERFIL DRYWALL GUIA G75,01
UN,MP,15521,MONTANTE DRYWALL M75,01
UN,MP,15522,CALHAS E RUFOS PKS_CAR,15
PC,MP,15523,"TELHA TRAPEZOIDAL TP-40 RAL5015 AÇO 0,50MM 1X1,88M",15
PC,MP,15524,"TELHA TRAPEZOIDAL TP-40 RAL5015 AÇO 0,50MM 1X3,14M",15
PC,MP,15525,"TELHA TRAPEZOIDAL TP-40 RAL5015 AÇO 0,50MM 1X3,30M",15
PC,MP,15526,"TELHA TRAPEZOIDAL TP-40 RAL5015 AÇO 0,50MM 1X1,21M",15
PC,MP,15527,"TELHA TRAPEZOIDAL TP-40 RAL5015 AÇO 0,50MM 1X2,65M",15
PC,MP,15528,"TELHA TRAPEZOIDAL TP-40 RAL5015 AÇO 0,50MM 1X3,00M",15
KG,MP,13688,CONTENTOR DE CCA 1850 KG,15
UN,MP,13944,"QUADRO DE DISTRIBUIÇÃO DE EMBUTIR 12/16 DISJUNTORES S/ BARRAMENTO, TIG",15
PC,MP,13945,PINUS APARELHADO 38X90X2600MM RESÍDUO,15
PC,MP,13946,PINUS APARELHADO 38X140X2600MM RESÍDUO,15
PC,MP,13947,TELHA FIBROCIMENTO ONDULADA TOPCOMFORT 1220X1100MM ESP 8MM,15
PC,MP,13948,TELHA FIBROCIMENTO ONDULADA TOPCOMFORT 1830X1100MM ESP 8MM,15
UN,MP,13949,CAIXA DAGUA POLIETILENO 5000L MODELO FECHADO,15
UN,MP,13950,"CONJUNTO MONTADO COM 1 INTERRUPTOR SIMPLES E 2 PARALELO, 10A 250V, 4X2",15
UN,MP,13951,CALHAS E RUFOS PARKSIDE,15
R,MP,13990,MEMBRANA HIDROFUGA GYSPSUM - 1M,15
R,MP,13991,MEMBRANA HIDROFUGA GYSPSUM - 3M,15
PC,MP,14084,PINUS BRUTO 40X100X2500MM,15
UN,PA,14192,HME_EXT_PINGADEIRA,15
M,CO,14211,CORREIA AT10-100-PU/AÇO,07
UN,CO,14212,CORREIA PLANA 2155 X 40 C/ GUIA CENTRAL K-6,07
PC,EQ,14240,JOGO COMPLETO ANDAIME 8 METROS INDUSTRIAL,07
KG,OU,14842,TEXTURA ELASTOMERICA - COR MARFIM (SUVINIL COD: RM017),15
M,MP,14843,RUFOS GPR_SPM,15
PC,MP,14844,SOLEIRA PEDRA NATURAL 100X14X2CM,15
UN,MP,14845,"CHAPA PREGO GNA80 10,7X19,8CM",01
UN,MP,14846,PARAFUSO SEXTAVADO BROCANTE ARRUELADO COSTURA 1/4X7/8,01
R,MP,14852,"FITA TACKY TAPE 22,2X12200MM",01
KG,MP,14855,TRATAMENTO ANTICORROSIVO GALVANIZAÇÃO A FOGO,15
UN,MP,14856,CANTONEIRA ANCORAGEM 40X40MM GALVANIZADA A FOGO,01
UN,MP,14857,CANTONEIRA DE ANCORAGEM 40X200MM 12F GALVANIZADA A FOGO,01
UN,MP,14858,CANTONEIRA DE ANCORAGEM 50X150MM C ESTAMPA 9F GALVANIZADA A FOGO,01
UN,MP,14859,CANTONEIRA DE ANCORAGEM 70X300MM (20F) GALVANIZADA A FOGO,01
UN,MP,14860,GRAVATA AE 45X110MM GALVANIZADA A FOGO,01
UN,MP,14861,GRAVATA AE 45X140MM DIREITA GALVANIZADA A FOGO,15
UN,MP,14862,GRAVATA AE 45X140MM ESQUERDA GALVANIZADA A FOGO,15
UN,MP,14863,GRAVATA AE 45X150MM GALVANIZADA A FOGO,01
PC,MP,13814,CHAPA DE PEAD NATURAL 3X1000X1300MM,15
UN,OU,13821,CINTA ELEVACAO 8T X 10M,07
UN,OU,14153,HP ELITEBOOK 820 G3 17RAM 8GB 256GB SSD,08
UN,OU,14154,HP PROBOOK 640 G2 I5 MRAM 8GB 1TB HB,08
UN,OU,14155,HP M428FDW MFP LASER MONO 38 PPM A4,08
